Company,Supersector,Country,Weight (%)
NESTLE,Food & Beverage,CH,3.79
ROCHE HLDG P,Health Care,CH,2.86
NOVARTIS,Health Care,CH,2.47
ASML HLDG,Technology,NL,1.76
SAP,Technology,DE,1.7
ASTRAZENECA,Health Care,GB,1.55
SANOFI,Health Care,FR,1.35
NOVO NORDISK B,Health Care,DK,1.31
LINDE,Chemicals,DE,1.3
LVMH MOET HENNESSY,Personal & Household Goods,FR,1.27
TOTAL,Oil & Gas,FR,1.17
GLAXOSMITHKLINE,Health Care,GB,1.16
HSBC,Banks,GB,1.13
SIEMENS,Industrial Goods & Services,DE,1.05
BRITISH AMERICAN TOBACCO,Personal & Household Goods,GB,1.01
ALLIANZ,Insurance,DE,0.96
DIAGEO,Food & Beverage,GB,0.95
BP,Oil & Gas,GB,0.91
UNILEVER NV,Personal & Household Goods,NL,0.87
BAYER,Health Care,DE,0.86
L'OREAL,Personal & Household Goods,FR,0.85
ROYAL DUTCH SHELL A,Oil & Gas,GB,0.8
AIR LIQUIDE,Chemicals,FR,0.76
IBERDROLA,Utilities,ES,0.76
UNILEVER PLC,Personal & Household Goods,GB,0.76
ENEL,Utilities,IT,0.75
RECKITT BENCKISER GRP,Personal & Household Goods,GB,0.74
RIO TINTO,Basic Resources,GB,0.67
SCHNEIDER ELECTRIC,Industrial Goods & Services,FR,0.66
DEUTSCHE TELEKOM,Telecommunications,DE,0.63
VINCI,Construction & Materials,FR,0.59
BASF,Chemicals,DE,0.59
ZURICH INSURANCE GROUP,Insurance,CH,0.59
ADIDAS,Personal & Household Goods,DE,0.55
DANONE,Food & Beverage,FR,0.54
RELX PLC,Media,GB,0.53
BNP PARIBAS,Banks,FR,0.51
AIRBUS,Industrial Goods & Services,FR,0.5
ANHEUSER-BUSCH INBEV,Food & Beverage,BE,0.49
AXA,Insurance,FR,0.48
Kering,Retail,FR,0.48
VODAFONE GRP,Telecommunications,GB,0.48
NATIONAL GRID,Utilities,GB,0.48
BHP GROUP PLC.,Basic Resources,GB,0.48
PHILIPS,Health Care,NL,0.47
BCO SANTANDER,Banks,ES,0.45
Prosus,Technology,NL,0.45
ESSILORLUXOTTICA,Health Care,FR,0.44
UBS GROUP,Banks,CH,0.44
PRUDENTIAL,Insurance,GB,0.44
ABB,Industrial Goods & Services,CH,0.44
LONZA,Health Care,CH,0.44
SAFRAN,Industrial Goods & Services,FR,0.42
