Date,XLK Open,XLK Low,XLK High,XLK Close,XLK Adj. Close,XLK EPS NTM,AAPL Open,AAPL Low,AAPL High,AAPL Close,AAPL Adj. Close,AMZN Open,AMZN Low,AMZN High,AMZN Close,AMZN Adj. Close
08-21-2020,116.59,116.51,117.49,117.44,117.44,0,477.02,476.96,488.34,487.32,487.32,"3,295.00","3,276.13","3,313.77",3290.53,"3,290.53"
08-20-2020,114.5,114.38,116.69,116.46,116.46,0,463,462.93,473.57,473.1,473.1,"3,252.00","3,238.00","3,312.62",3297.37,"3,297.37"
08-19-2020,115.36,114.73,115.87,114.93,114.93,0,463.93,462.44,468.65,462.83,462.83,"3,303.01","3,256.00","3,315.90",3260.48,"3,260.48"
08-18-2020,114.86,114.1,115.38,115.07,115.07,0,457.41,456.03,464,462.25,462.25,"3,212.00","3,205.82","3,320.00",3312.49,"3,312.49"
08-17-2020,114.57,114.43,114.9,114.64,114.64,0,464.25,455.85,464.35,458.43,458.43,"3,173.12","3,154.18","3,194.97",3182.41,"3,182.41"
08-14-2020,114.01,113.25,114.21,113.88,113.88,0,459.31,452.18,460,459.63,459.63,"3,178.18","3,120.00","3,178.24",3148.02,"3,148.02"
08-13-2020,114.07,113.55,114.91,113.96,113.96,0,457.72,455.71,464.17,460.04,460.04,"3,182.99","3,155.00","3,217.52",3161.02,"3,161.02"
08/12/2020,112.28,112.14,114.21,113.91,113.91,0,441.99,441.19,453.1,452.04,452.04,"3,108.00","3,101.42","3,174.39",3162.24,"3,162.24"
08/11/2020,113.05,111.15,113.53,111.38,111.38,0,447.88,436.43,449.93,437.5,437.5,"3,113.20","3,073.00","3,159.22",3080.67,"3,080.67"
08/10/2020,113.96,111.89,114.15,113.42,113.42,0,450.4,440,455.1,450.91,450.91,"3,170.31","3,101.52","3,172.51",3148.16,"3,148.16"
08/07/2020,115,112.84,115,113.74,113.74,0,452.82,441.17,454.7,444.45,444.45,"3,224.01","3,140.67","3,240.81",3167.46,"3,167.46"
