Date,XLK Open,XLK Low,XLK High,XLK Close,XLK Adj. Close,AAPL Open,AAPL Low,AAPL High,AAPL Close,AAPL Adj. Close,AMZN Open,AMZN Low,AMZN High,AMZN Close,AMZN Adj. Close,MSFT Open,MSFT Low,MSFT High,MSFT Close,MSFT Adj. Close,V Open,V Low,V High,V Close,V Adj. Close,NVDA Open,NVDA Low,NVDA High,NVDA Close,NVDA Adj. Close,MA Open,MA Low,MA High,MA Close,MA Adj. Close,PYPL Open,PYPL Low,PYPL High,PYPL Close,PYPL Adj. Close,ADBE Open,ADBE Low,ADBE High,ADBE Close,ADBE Adj. Close,INTC Open,INTC Low,INTC High,INTC Close,INTC Adj. Close,CRM Open,CRM Low,CRM High,CRM Close,CRM Adj. Close,CSCO Open,CSCO Low,CSCO High,CSCO Close,CSCO Adj. Close,ACN Open,ACN Low,ACN High,ACN Close,ACN Adj. Close,AVGO Open,AVGO Low,AVGO High,AVGO Close,AVGO Adj. Close,TXN Open,TXN Low,TXN High,TXN Close,TXN Adj. Close,QCOM Open,QCOM Low,QCOM High,QCOM Close,QCOM Adj. Close,ORCL Open,ORCL Low,ORCL High,ORCL Close,ORCL Adj. Close,IBM Open,IBM Low,IBM High,IBM Close,IBM Adj. Close,GOOG Open,GOOG Low,GOOG High,GOOG Close,GOOG Adj. Close,FB Open,FB Low,FB High,FB Close,FB Adj. Close,BABA Open,BABA Low,BABA High,BABA Close,BABA Adj. Close
08-21-2020,116.59,116.51,117.41,117.4,117.4,477.02,476.96,490.71,490.36,490.36,3295,3276.13,3313.77,3281.92,3281.92,213.5,213.15,216.24,213.42,213.42,204.43,203.38,205.14,204.39,204.39,488.07,488.07,512.29,506.89,506.89,337.72,336.05,338.77,337.72,337.72,198.2,196.24,198.99,196.57,196.57,476.32,470.43,477.28,471.58,471.58,49,48.65,49.26,49.05,49.05,209.94,206.25,209.94,206.91,206.91,42.05,41.81,42.17,42.09,42.09,236.39,235,237.29,237.03,237.03,327.86,325.27,329.1,328.1,328.1,138.11,137.2,139.19,139.19,139.19,109.97,109.97,112.5,112.03,112.03,55.27,54.73,55.33,55.13,55.13,122.96,122.31,123.48,123.28,123.28,1578.02,1571,1597.11,1582.28,1582.28,268.11,266.43,270.48,267.13,267.13,259,258.36,267.41,266.94,266.94
08-20-2020,114.5,114.38,116.69,116.46,116.46,463,462.93,473.57,473.1,473.1,3252,3238,3312.62,3297.37,3297.37,209.54,208.91,215,214.58,214.58,199.9,199.6,204.44,204.15,204.15,479,475.15,495,485.64,485.64,330.19,330.19,338,337.32,337.32,192.06,191.51,198.7,198.18,198.18,460.99,458.89,479.8,478.48,478.48,49.81,49,50.2,49.17,49.17,203.85,203.51,210.11,209.51,209.51,41.87,41.73,42.42,42.31,42.31,233.94,233.58,236.95,236.61,236.61,327.69,326.06,329.99,328.83,328.83,137.31,136.62,139.13,138.57,138.57,110,109.67,110.98,110.66,110.66,55.59,55.09,55.81,55.26,55.26,123.2,122.81,124.04,123.15,123.15,1543.45,1538.2,1585.87,1581.75,1581.75,261.5,261.46,269.63,269.01,269.01,256.89,254.18,258.88,257.97,257.97
08-19-2020,115.36,114.73,115.87,114.93,114.93,463.93,462.44,468.65,462.83,462.83,3303.01,3256,3315.9,3260.48,3260.48,211.49,209.25,212.1,209.7,209.7,198.92,198.9,202.84,200.99,200.99,491.86,483.92,492.6,485.54,485.54,330.04,330,334.46,332.4,332.4,195.06,191.92,196.84,192.44,192.44,464.29,457.59,468.11,462.01,462.01,48.78,48.25,48.98,48.33,48.33,204,200.03,207.1,205.11,205.11,42.1,41.78,42.35,41.87,41.87,233.8,233.8,236.5,234.63,234.63,329.47,328.24,333.09,329.21,329.21,139.67,138.03,140.88,138.48,138.48,112.33,110.75,113.47,111.04,111.04,55.58,55.46,56.8,56.2,56.2,124.83,123.5,125.5,123.84,123.84,1553.31,1543.95,1573.68,1547.53,1547.53,261.39,261.35,267.91,262.59,262.59,260.89,257.38,261.29,260.59,260.59
08-18-2020,114.86,114.1,115.38,115.07,115.07,457.41,456.03,464,462.25,462.25,3212,3205.82,3320,3312.49,3312.49,210.02,208.71,211.85,211.49,210.98,199.98,196.82,200.1,199.01,199.01,498,483.45,499.84,490.43,490.43,330.2,326.35,331.4,331,331,197.73,194,198.75,194.57,194.57,454.79,452.84,464.5,463.51,463.51,49.26,48.62,49.57,48.65,48.65,199.33,199,204.8,204.01,204.01,42.13,41.81,42.29,41.98,41.98,233.35,232.58,234.93,234.23,234.23,331.86,328.14,333.18,328.64,328.64,138.96,138.2,139.46,139.31,139.31,112.91,111.52,113.38,112.03,112.03,55.62,54.87,56.92,55.18,55.18,125,124.24,125.5,124.92,124.92,1526.18,1523.71,1562.47,1558.6,1558.6,260.95,259.26,265.15,262.34,262.34,258.71,256.06,261.42,259.2,259.2
08-17-2020,114.57,114.43,114.9,114.64,114.64,464.25,455.85,464.35,458.43,458.43,3173.12,3154.18,3194.97,3182.41,3182.41,209.09,208.41,210.68,210.28,209.77,197.3,196.71,200.46,199.43,199.43,474.05,472.69,496.39,493.48,493.48,327,326.68,331.23,330.23,330.23,193.92,193.25,197.42,196.29,196.29,450,449.2,456.1,451.58,451.58,49.11,48.73,49.3,48.93,48.93,195.34,194.42,197.07,196.74,196.74,42.55,41.86,42.76,42.09,42.09,231.45,230.98,233.77,232.62,232.62,329.51,329,331.79,330.32,330.32,137.86,137.63,139.24,138.28,138.28,113.29,110.63,114.49,112.18,112.18,54.2,53.66,54.39,53.99,53.99,125.25,124.41,125.59,124.44,124.44,1514.67,1507.97,1525.61,1517.98,1517.98,262.5,259.4,264.1,261.16,261.16,253,250.09,257.38,256.96,256.96
08-14-2020,114.01,113.25,114.21,113.88,113.88,459.31,452.18,460,459.63,459.63,3178.18,3120,3178.24,3148.02,3148.02,208.26,207.01,209.08,208.9,208.4,197.01,195.77,198.07,196.64,196.64,461.2,457.62,468.19,462.56,462.56,325.67,324.81,327.64,326.8,326.8,195.19,190.51,195.47,191.46,191.46,451.39,444.43,452.81,447.6,447.6,48.73,48.65,49.21,48.89,48.89,195.22,192.52,195.48,193.46,193.46,42.49,42.27,42.88,42.5,42.5,230.57,229.41,231.93,230.25,230.25,328.02,326,329.85,327.82,327.82,137.73,137,138.31,137.35,137.35,113.3,112.57,114.52,113.74,113.74,54.03,53.77,54.55,54.2,54.2,124.2,123.91,125.56,125.27,125.27,1515.66,1502.88,1521.9,1507.73,1507.73,262.31,258.68,262.65,261.24,261.24,255.49,251.64,255.77,253.97,253.97
08-13-2020,114.07,113.55,114.91,113.96,113.96,457.72,455.71,464.17,460.04,460.04,3182.99,3155,3217.52,3161.02,3161.02,208.93,207.65,210.84,208.7,208.2,197.13,197.03,199.94,197.58,197.58,461.84,454.23,468.87,457.72,457.72,325.93,325.62,329.83,326.19,326.19,192.1,191.48,195.13,193.07,193.07,446.07,446.07,455.9,450.02,450.02,49.26,48.38,49.33,48.56,48.56,193.32,193.23,198.07,195.14,195.14,43.79,42.38,43.84,42.72,42.72,229.59,228.93,232.38,231.73,231.73,332.21,327.85,333.41,329.42,329.42,138.11,136.95,138.6,137.15,137.15,116.2,112.77,116.2,113.41,113.41,53.91,53.68,54.2,54.02,54.02,125.96,124.77,126.39,125.03,125.03,1510.34,1508.01,1537.25,1518.45,1518.45,261.55,259.57,265.16,261.3,261.3,256.39,252.88,256.97,253.72,253.72
08/12/2020,112.28,112.14,114.21,113.91,113.91,441.99,441.19,453.1,452.04,452.04,3108,3101.42,3174.39,3162.24,3162.24,204.79,204.26,209.77,209.19,208.69,198.7,197.94,199.93,198.74,198.44,439.63,438.33,458.68,457.61,457.61,328.66,326.2,331.4,327.63,327.63,190,189.4,192.51,191.32,191.32,437.37,437.37,447.93,445.36,445.36,48.67,48.24,49.26,49.19,49.19,193,192.12,195.42,192.62,192.62,47.28,47.27,48.13,48.1,48.1,230.3,229.25,231.32,229.75,229.75,325.85,325.36,335.88,333.64,333.64,137.47,136.65,139.14,138.64,138.64,110.39,109.65,116.25,115.79,115.79,54.52,53.97,54.7,54.17,54.17,127.61,125.88,127.79,126.7,126.7,1485.58,1485.25,1512.39,1506.62,1506.62,258.97,258.11,263.9,259.89,259.89,249.25,248.68,256.08,255.19,255.19
08/11/2020,113.05,111.15,113.53,111.38,111.38,447.88,436.43,449.93,437.5,437.5,3113.2,3073,3159.22,3080.67,3080.67,206.66,202.65,207.15,203.38,202.89,197.52,196.04,202.58,197.77,197.47,442.95,431.83,445.47,434,434,325,323.58,334.55,328.54,328.54,192,186.52,193.53,189.03,189.03,440.26,431.59,444.48,435.23,435.23,49.63,48.06,49.73,48.19,48.19,193.62,191.72,195.84,191.99,191.99,47.9,47.09,48.45,47.19,47.19,230.58,228.16,232.51,228.57,228.57,327.57,322.76,333.32,324.03,324.03,136.81,135.65,138.83,136.04,136.04,106.2,104.74,112.01,108.83,108.83,55.24,54.13,55.46,54.27,54.27,128.76,126.61,130.47,126.75,126.75,1492.44,1478,1510,1480.32,1480.32,260.19,255.13,265.92,256.13,256.13,251.29,247.83,252.88,248.42,248.42
08/10/2020,113.96,111.89,114.15,113.42,113.42,450.4,440,455.1,450.91,450.91,3170.31,3101.52,3172.51,3148.16,3148.16,211.16,205.85,211.37,208.25,207.75,196.06,195.04,198.01,196.79,196.49,453.37,434.26,456.33,446.6,446.6,327.19,321.86,329.74,322.88,322.88,198.7,191.69,199.85,193.32,193.32,450.37,436.5,451.13,443.29,443.29,48.2,48.06,49.39,49.22,49.22,200.4,195.72,201.48,197.16,197.16,47.16,47.16,48,47.73,47.73,229.69,229.52,231.26,230.34,230.34,324.22,324.06,329.27,327.36,327.36,133.22,132.47,135.81,135.41,135.41,108.6,105.72,108.99,106.36,106.36,55.24,54.88,55.62,54.94,54.94,125.42,125.18,127.24,127.11,127.11,1487.18,1473.08,1504.08,1496.1,1496.1,268.04,259.69,273.86,263,263,249.34,246.1,251.75,248.13,248.13
